t 16 64
v 0 3 9
v 1 2 7
v 2 1 5
v 3 1 7
v 4 3 5
v 5 2 5
v 6 5 15
v 7 0 6
v 8 3 8
v 9 2 9
v 10 3 8
v 11 5 10
v 12 0 10
v 13 3 10
v 14 3 7
v 15 2 7
e 0 6 0
e 0 9 0
e 0 10 0
e 0 13 0
e 0 8 0
e 0 1 0
e 0 12 0
e 0 14 0
e 0 11 0
e 1 6 0
e 1 9 0
e 1 11 0
e 1 12 0
e 1 13 0
e 1 14 0
e 2 6 0
e 2 7 0
e 2 4 0
e 2 5 0
e 2 3 0
e 3 6 0
e 3 7 0
e 3 11 0
e 3 12 0
e 3 5 0
e 3 4 0
e 4 6 0
e 4 7 0
e 4 5 0
e 5 6 0
e 5 7 0
e 6 14 0
e 6 10 0
e 6 8 0
e 6 15 0
e 6 7 0
e 6 12 0
e 6 13 0
e 6 9 0
e 6 11 0
e 7 9 0
e 8 10 0
e 8 11 0
e 8 12 0
e 8 13 0
e 8 14 0
e 8 15 0
e 9 15 0
e 9 10 0
e 9 13 0
e 9 12 0
e 9 11 0
e 10 15 0
e 10 11 0
e 10 12 0
e 10 13 0
e 11 12 0
e 11 13 0
e 11 14 0
e 12 13 0
e 12 15 0
e 13 15 0
e 13 14 0
e 14 15 0
