t 16 58
v 0 27 8
v 1 25 9
v 2 3 6
v 3 11 13
v 4 2 6
v 5 7 5
v 6 6 6
v 7 22 9
v 8 15 4
v 9 16 7
v 10 3 4
v 11 31 7
v 12 29 4
v 13 19 4
v 14 22 14
v 15 38 10
e 0 14 0
e 0 15 0
e 0 3 0
e 0 5 0
e 0 9 0
e 0 11 0
e 0 4 0
e 0 6 0
e 1 7 0
e 1 14 0
e 1 15 0
e 1 3 0
e 1 5 0
e 1 9 0
e 1 11 0
e 1 4 0
e 1 6 0
e 2 14 0
e 2 3 0
e 2 8 0
e 2 10 0
e 2 12 0
e 2 13 0
e 3 7 0
e 3 14 0
e 3 15 0
e 3 9 0
e 3 11 0
e 3 4 0
e 3 6 0
e 3 10 0
e 3 12 0
e 3 13 0
e 4 7 0
e 4 14 0
e 4 15 0
e 5 7 0
e 5 14 0
e 5 15 0
e 6 7 0
e 6 14 0
e 6 15 0
e 7 14 0
e 7 15 0
e 7 9 0
e 7 11 0
e 8 10 0
e 8 12 0
e 8 13 0
e 9 14 0
e 9 15 0
e 9 11 0
e 10 14 0
e 11 14 0
e 11 15 0
e 12 14 0
e 13 14 0
e 14 15 0
