t 16 49
v 0 39 8
v 1 34 5
v 2 19 11
v 3 5 3
v 4 34 3
v 5 11 8
v 6 35 5
v 7 9 15
v 8 27 5
v 9 34 5
v 10 17 4
v 11 26 4
v 12 3 7
v 13 35 3
v 14 7 4
v 15 31 8
e 0 7 0
e 0 2 0
e 0 6 0
e 0 15 0
e 0 5 0
e 0 12 0
e 0 8 0
e 0 1 0
e 1 7 0
e 1 2 0
e 1 15 0
e 1 5 0
e 2 7 0
e 2 6 0
e 2 15 0
e 2 5 0
e 2 12 0
e 2 8 0
e 2 10 0
e 2 11 0
e 2 14 0
e 3 7 0
e 3 4 0
e 3 9 0
e 4 7 0
e 4 9 0
e 5 7 0
e 5 6 0
e 5 15 0
e 5 12 0
e 5 8 0
e 6 7 0
e 6 15 0
e 7 15 0
e 7 12 0
e 7 13 0
e 7 9 0
e 7 8 0
e 7 10 0
e 7 11 0
e 7 14 0
e 8 15 0
e 9 12 0
e 9 13 0
e 10 11 0
e 10 14 0
e 11 14 0
e 12 15 0
e 12 13 0
